[ss7@addsv1 /etc]$ netstat -nr
Kernel IP routing table
Destination     Gateway         Genmask         Flags   MSS Window  irtt Iface
172.27.40.0     0.0.0.0         255.255.255.128 U         0 0          0 eth0
172.27.20.0     0.0.0.0         255.255.255.0   U         0 0          0 eth1
10.100.1.0      172.27.20.1     255.255.255.0   UG        0 0          0 eth1
163.198.0.0     0.0.0.0         255.255.255.0   U         0 0          0 bond1
10.137.35.0     172.27.20.1     255.255.255.0   UG        0 0          0 eth1
162.198.0.0     0.0.0.0         255.255.255.0   U         0 0          0 bond0
169.254.0.0     0.0.0.0         255.255.0.0     U         0 0          0 eth1
10.0.0.0        172.27.40.1     255.0.0.0       UG        0 0          0 eth0
0.0.0.0         172.27.20.1     0.0.0.0         UG        0 0          0 eth1
[ss7@addsv1 /etc]$ 
